filename,snr_pr,snr_noisy,lsd_pr,lsd_noisy,P808_MOS pr,SIG_raw pr,BAK_raw pr,OVRL pr,SIG pr,BAK pr,P808_MOS hr,SIG_raw hr,BAK_raw hr,OVRL hr,SIG hr,BAK hr,P808_MOS noisy,SIG_raw noisy,BAK_raw noisy,OVRL noisy,SIG noisy,BAK noisy
/VCTK-Corpus/wav48/p347/p347_372.wav,0.4880091920495033,-1.8664015184781748,3.7643883,5.123781974960804,3.7263288,4.0695252,4.2469645,3.2955637388327044,3.5827791987871636,4.063093287062098,3.8504534,4.05115,4.2671275,3.2648546275916126,3.572629920564559,4.072820258712838,3.4056175,4.2181053,3.6697133,3.1988979863940483,3.660603631174141,3.735668997019177
/VCTK-Corpus/wav48/p347/p347_065.wav,0.20117709413170815,0.11550170324845543,2.1460934,1.9915257394560417,3.4085224,3.5133913,3.8644714,2.896027575151692,3.2579777094520543,3.8561271953039586,3.311764,3.6719284,3.9154694,2.9817208211290556,3.3558693676971103,3.885949740833291,3.3089364,3.555813,3.7813838,2.8805749905598037,3.2845854706686834,3.806072354345602
/VCTK-Corpus/wav48/p347/p347_404.wav,10.320261716842651,10.29866084453185,1.9381734,1.1244656825380412,3.753394,4.112074,4.2256246,3.291614972178538,3.6055063476800826,4.052458495873553,3.7891572,4.1236076,4.113167,3.2713851418566047,3.611583357335214,3.9950259841648013,3.7875679,4.1070023,4.0414343,3.244312582144232,3.6028245274161677,3.9564699986435232
/VCTK-Corpus/wav48/p347/p347_141.wav,-9.571642279624939,-9.781837530413778,4.1284137,5.223553865512581,3.1221075,3.810347,4.1135774,3.139842669889926,3.4378868695680382,3.995301281027242,3.1429522,3.9300168,4.1348767,3.187357986029044,3.5062014600774614,4.006442773501518,3.0711002,4.080521,2.6478112,2.741787933382903,3.588703790643681,2.9415756215494477
/VCTK-Corpus/wav48/p347/p347_287.wav,-5.483778119087219,-5.563223264514805,2.7879574,2.924060809841661,3.4300675,3.9442625,4.1066995,3.205892938114837,3.514173586230263,3.9916780003319587,3.5000541,3.8900845,3.9783905,3.1301671902536725,3.483673126141053,3.921800860690457,3.4418204,3.919419,4.051428,3.1718593069490706,3.5002487225183696,3.9621085841232784
/VCTK-Corpus/wav48/p347/p347_256.wav,18.23923349380493,16.80339634907494,2.4800103,2.7407580673847947,3.7614279,4.0894585,4.319792,3.309184210862295,3.593483343880179,4.0981492562689175,3.9050632,4.125387,4.315961,3.3335773619386893,3.6125620760464288,4.096340701956083,3.6103554,4.14163,4.0175333,3.2596537054806007,3.6211161999404466,3.9435776240976033
/VCTK-Corpus/wav48/p347/p347_190.wav,-8.06232213973999,-8.164965258791712,3.2237535,3.72140198534938,3.549839,4.103317,4.465912,3.3799401791383388,3.600778633109269,4.164170082326843,3.5069644,4.178387,4.557999,3.4117894104854267,3.6402942920622245,4.202913942087763,3.4339306,4.102263,4.248305,3.3156626866867245,3.600217442824244,4.06298239389668
/VCTK-Corpus/wav48/p347/p347_019.wav,18.533846139907837,11.79568741812502,2.7536616,3.13939776210071,3.3340037,4.352318,4.559283,3.4786701485414953,3.727937903595104,4.20346747097305,3.7269464,4.3702607,4.525306,3.479145052168042,3.7367516015510924,4.189389355493386,3.1354847,4.2196693,3.8918445,3.272279558544595,3.661560808663984,3.871048457022147
/VCTK-Corpus/wav48/p347/p347_146.wav,-11.602966785430908,-11.747019998225847,3.4891248,3.4760016952349884,3.8155236,4.360493,4.4897127,3.5187602106148903,3.7319859070095283,4.174426941257631,3.854486,4.2672167,4.501046,3.4500348542297403,3.685698712115689,4.17920876073579,3.8537457,4.209894,4.259074,3.392065509251146,3.656491656670032,4.068838074990614
/VCTK-Corpus/wav48/p347/p347_280.wav,19.614461660385132,21.090353082401634,2.4490564,2.7293782653489744,3.463631,3.9806044,4.1478014,3.219956412492264,3.5343566603826755,4.013145303601549,3.6493168,4.008784,4.251604,3.2638762212629957,3.5498538799604833,4.065380351836625,3.4286897,4.0588417,4.138567,3.260011724347958,3.5770542644203274,4.008360961966624
/VCTK-Corpus/wav48/p347/p347_251.wav,5.082746744155884,5.047783629987881,2.811361,3.1565678363021044,3.6495242,4.2244353,4.2172265,3.357460745245302,3.663925229487137,4.048189938620305,3.8304443,4.127506,4.159157,3.2847020266056526,3.6136379768418716,4.018677963495093,3.6823838,4.135883,4.0561833,3.2743087385619005,3.618027970842701,3.963937612421602
